Datum;air_meantemp;air_maxtemp;air_mintemp;soil_meantemp;rain;snow;vegper
2020-01-01;2.8;4.6;0.8;4.6;NaN;-;Nej
2020-01-02;4.1;5.6;1.0;5.6;NaN;-;Nej
2020-01-03;3.3;6.1;-0.7;6.1;NaN;-;Nej
2020-01-04;-0.7;1.0;-3.3;1.0;NaN;-;Nej
2020-01-05;-2.1;1.1;-5.8;1.1;NaN;-;Nej
2020-01-06;1.3;5.1;-2.3;5.1;NaN;-;Nej
2020-01-07;4.2;5.2;3.1;5.2;NaN;-;Nej
2020-01-08;4.8;7.9;1.7;7.9;NaN;-;Nej
2020-01-09;-0.9;2.6;-5.9;2.6;NaN;-;Nej
2020-01-10;-8.2;-5.8;-10.9;-5.8;NaN;-;Nej
2020-01-11;-0.5;5.7;-11.5;5.7;NaN;-;Nej
2020-01-12;2.5;6.1;-1.8;6.1;NaN;-;Nej
2020-01-13;-1.4;1.5;-3.8;1.5;NaN;-;Nej
2020-01-14;2.3;4.0;0.4;4.0;NaN;-;Nej
2020-01-15;2.9;5.4;-0.1;5.4;NaN;0.0;Nej
2020-01-16;4.1;5.9;1.4;5.9;NaN;-;Nej
2020-01-17;4.2;5.4;2.4;5.4;NaN;-;Nej
2020-01-18;2.8;4.9;-0.5;4.9;NaN;-;Nej
2020-01-19;-1.1;2.0;-3.2;2.0;NaN;-;Nej
2020-01-20;2.8;6.8;-2.3;6.8;NaN;-;Nej
2020-01-21;3.2;7.7;-0.1;7.7;NaN;-;Nej
2020-01-22;0.5;3.0;-3.1;3.0;NaN;0.0;Nej
2020-01-23;0.3;6.8;-3.2;6.8;NaN;-;Nej
2020-01-24;1.9;4.9;-2.9;4.9;NaN;-;Nej
2020-01-25;-1.9;3.2;-6.5;3.2;NaN;-;Nej
2020-01-26;3.3;4.6;-0.3;4.6;NaN;-;Nej
2020-01-27;3.2;4.3;1.6;4.3;NaN;-;Nej
2020-01-28;1.3;2.9;0.0;2.9;NaN;-;Nej
2020-01-29;0.0;0.2;-0.1;0.2;NaN;-;Nej
2020-01-30;-0.2;0.2;-1.6;0.2;NaN;-;Nej
2020-01-31;-0.8;0.8;-2.5;0.8;NaN;-;Nej
2020-02-01;2.5;4.8;-0.1;4.8;NaN;13.2;Nej
2020-02-02;-0.1;2.9;-3.3;2.9;NaN;-;Nej
2020-02-03;-5.4;-1.1;-9.4;-1.1;NaN;-;Nej
2020-02-04;-6.4;-3.0;-9.4;-3.0;NaN;-;Nej
2020-02-05;-2.5;2.4;-10.1;2.4;NaN;-;Nej
2020-02-06;-0.4;1.7;-1.2;1.7;NaN;-;Nej
2020-02-07;0.6;3.3;-1.2;3.3;NaN;-;Nej
2020-02-08;1.7;2.5;0.9;2.5;NaN;-;Nej
2020-02-09;2.4;5.3;1.1;5.3;NaN;-;Nej
2020-02-10;3.3;5.6;-1.7;5.6;NaN;-;Nej
2020-02-11;-1.0;2.5;-3.0;2.5;NaN;-;Nej
2020-02-12;-1.0;1.6;-4.1;1.6;NaN;-;Nej
2020-02-13;-3.7;2.1;-8.0;2.1;NaN;3.2;Nej
2020-02-14;-3.9;1.3;-9.1;1.3;NaN;-;Nej
2020-02-15;1.7;4.5;-0.7;4.5;NaN;-;Nej
2020-02-16;4.7;7.5;2.0;7.5;NaN;-;Nej
2020-02-17;4.6;6.5;2.4;6.5;NaN;-;Nej
2020-02-18;3.6;6.3;-0.2;6.3;NaN;-;Nej
2020-02-19;-0.1;6.0;-5.5;6.0;NaN;-;Nej
2020-02-20;-1.6;2.8;-7.5;2.8;NaN;0.0;Nej
2020-02-21;3.0;6.0;-0.4;6.0;NaN;-;Nej
2020-02-22;3.8;6.2;-0.2;6.2;NaN;-;Nej
2020-02-23;1.4;4.9;-3.4;4.9;NaN;-;Nej
2020-02-24;-2.4;2.9;-7.9;2.9;NaN;-;Nej
2020-02-25;-4.9;0.5;-9.9;0.5;NaN;-;Nej
2020-02-26;-5.0;-1.8;-11.9;-1.8;NaN;-;Nej
2020-02-27;-9.4;-2.5;-14.6;-2.5;NaN;0.0;Nej
2020-02-28;-6.7;0.2;-16.0;0.2;NaN;-;Nej
2020-02-29;-3.5;0.4;-9.4;0.4;NaN;-;Nej
2020-03-01;-2.5;-1.2;-3.8;-1.2;NaN;13.8;Nej
2020-03-02;0.5;NaN;NaN;NaN;NaN;-;Nej
2020-03-03;-1.4;0.3;-2.4;0.3;NaN;23.6;Nej
2020-03-04;-1.3;0.1;-2.5;0.1;NaN;-;Nej
2020-03-05;-3.9;0.2;-8.6;0.2;NaN;47.8;Nej
2020-03-06;-6.5;1.3;-13.5;1.3;NaN;-;Nej
2020-03-07;-3.5;0.5;-6.3;0.5;NaN;-;Nej
2020-03-08;1.9;4.9;-2.2;4.9;NaN;-;Nej
2020-03-09;3.3;6.2;-1.8;6.2;NaN;-;Nej
2020-03-10;1.5;4.5;-2.1;4.5;NaN;-;Nej
2020-03-11;1.8;6.1;-0.3;6.1;NaN;17.2;Nej
2020-03-12;1.7;5.1;-1.0;5.1;NaN;-;Nej
2020-03-13;-1.8;2.0;-6.7;2.0;NaN;-;Nej
2020-03-14;-3.6;1.3;-10.8;1.3;NaN;-;Nej
2020-03-15;1.9;4.4;-1.2;4.4;NaN;-;Nej
2020-03-16;1.2;4.4;-4.0;4.4;NaN;-;Nej
2020-03-17;4.3;8.3;0.5;8.3;NaN;-;Nej
2020-03-18;4.1;8.2;0.1;8.2;NaN;10.2;Nej
2020-03-19;1.8;8.1;-3.4;8.1;NaN;-;Nej
2020-03-20;-1.6;3.9;-5.4;3.9;NaN;-;Nej
2020-03-21;-2.3;4.4;-7.6;4.4;NaN;-;Nej
2020-03-22;-1.3;4.8;-9.2;4.8;NaN;-;Nej
2020-03-23;1.7;5.0;-0.9;5.0;NaN;-;Nej
2020-03-24;2.5;6.1;-0.4;6.1;NaN;-;Nej
2020-03-25;5.2;10.1;1.9;10.1;NaN;-;Nej
2020-03-26;4.6;7.8;-0.6;7.8;NaN;0.0;Nej
2020-03-27;2.7;7.3;-2.6;7.3;NaN;-;Nej
2020-03-28;0.1;6.3;-4.2;6.3;NaN;-;Nej
2020-03-29;-1.1;3.6;-7.4;3.6;NaN;-;Nej
2020-03-30;-2.4;2.4;-7.8;2.4;NaN;-;Nej
2020-03-31;2.2;7.8;-6.2;7.8;NaN;-;Nej
2020-04-01;3.2;9.1;-2.4;9.1;NaN;-;Nej
2020-04-02;0.5;7.0;-3.9;7.0;-;-;Nej
2020-04-03;0.1;4.1;-5.4;4.1;-;-;Nej
2020-04-04;-1.4;5.5;-7.8;5.5;-;-;Nej
2020-04-05;0.7;5.9;-6.5;5.9;-;-;Nej
2020-04-06;6.0;14.6;-1.7;14.6;-;-;Nej
2020-04-07;4.0;11.2;-2.8;11.2;-;-;Nej
2020-04-08;6.0;11.7;-2.9;11.7;-;-;Nej
2020-04-09;3.4;8.4;-2.3;8.4;-;-;Nej
2020-04-10;2.4;9.0;-2.8;9.0;-;-;Nej
2020-04-11;2.4;9.8;-5.2;9.8;-;-;Nej
2020-04-12;5.0;11.9;-0.4;11.9;-;-;Nej
2020-04-13;1.4;4.9;-1.2;4.9;-;-;Nej
2020-04-14;1.8;7.4;-2.1;7.4;-;-;Nej
2020-04-15;7.6;14.7;-0.1;14.7;-;-;Nej
2020-04-16;4.4;9.2;-0.6;9.2;-;-;Nej
2020-04-17;3.4;8.7;-2.5;8.7;-;-;Nej
2020-04-18;4.7;10.4;-0.8;10.4;-;-;Nej
2020-04-19;7.0;13.4;0.4;13.4;0.0;-;Ja
2020-04-20;6.7;17.0;-2.6;17.0;0.0;-;Ja
2020-04-21;8.6;20.1;-2.4;20.1;0.2;-;Ja
2020-04-22;9.4;20.6;-2.2;20.6;0.0;-;Ja
2020-04-23;8.4;18.2;-1.1;18.2;0.0;-;Ja
2020-04-24;5.4;9.8;-2.3;9.8;0.0;-;Ja
2020-04-25;6.5;11.5;2.3;11.5;0.0;-;Ja
2020-04-26;3.9;9.7;-3.8;9.7;0.0;-;Ja
2020-04-27;1.9;7.8;-4.1;7.8;5.2;-;Ja
2020-04-28;1.3;5.8;-0.9;5.8;3.6;-;Ja
2020-04-29;2.6;7.1;-1.1;7.1;0.0;-;Ja
2020-04-30;3.1;9.4;-2.1;9.4;0.0;-;Ja
2020-05-01;2.2;4.3;0.0;4.3;11.1;-;Ja
2020-05-02;5.1;11.2;0.0;11.2;4.0;-;Ja
2020-05-03;5.9;12.7;-0.1;12.7;0.4;-;Ja
2020-05-04;3.4;8.9;-2.1;8.9;0.0;-;Ja
2020-05-05;5.4;12.9;-3.9;12.9;0.0;-;Ja
2020-05-06;6.4;15.2;-1.2;15.2;0.0;-;Ja
2020-05-07;5.5;11.9;-1.6;11.9;0.0;-;Ja
2020-05-08;6.4;14.8;-3.3;14.8;0.0;-;Ja
2020-05-09;7.0;13.3;-3.3;13.3;0.0;-;Ja
2020-05-10;1.8;7.4;-2.5;7.4;11.9;-;Ja
2020-05-11;1.7;8.6;-5.2;8.6;1.6;-;Ja
2020-05-12;-0.6;3.6;-5.3;3.6;0.4;-;Ja
2020-05-13;1.1;7.4;-5.1;7.4;9.3;-;Ja
2020-05-14;2.9;10.4;-4.0;10.4;0.0;-;Ja
2020-05-15;3.6;9.6;-4.0;9.6;0.0;-;Ja
2020-05-16;4.6;10.0;-2.1;10.0;0.2;-;Ja
2020-05-17;4.3;11.5;-3.9;11.5;0.8;-;Ja
2020-05-18;5.2;13.0;-2.6;13.0;0.0;-;Ja
2020-05-19;5.2;11.4;-1.9;11.4;0.0;-;Ja
2020-05-20;5.5;14.0;-3.5;14.0;0.0;-;Ja
2020-05-21;8.9;17.9;-4.0;17.9;0.0;-;Ja
2020-05-22;12.1;19.9;1.0;19.9;0.0;-;Ja
2020-05-23;8.4;11.2;6.0;11.2;3.0;-;Ja
2020-05-24;9.0;13.5;5.1;13.5;3.2;-;Ja
2020-05-25;11.1;16.1;4.8;16.1;0.2;-;Ja
2020-05-26;13.2;20.4;2.2;20.4;0.0;-;Ja
2020-05-27;10.6;16.6;2.7;16.6;0.0;-;Ja
2020-05-28;9.5;16.8;0.7;16.8;0.0;-;Ja
2020-05-29;11.6;20.0;1.7;20.0;0.0;-;Ja
2020-05-30;11.8;19.1;2.7;19.1;0.0;-;Ja
2020-05-31;14.1;23.3;1.6;23.3;0.0;-;Ja
2020-06-01;18.4;27.7;5.0;27.7;0.0;-;Ja
2020-06-02;17.5;24.6;7.9;24.6;0.0;-;Ja
2020-06-03;13.8;19.9;5.7;19.9;0.0;-;Ja
2020-06-04;12.4;19.0;3.4;19.0;0.0;-;Ja
2020-06-05;13.1;20.5;8.1;20.5;4.2;-;Ja
2020-06-06;10.1;13.4;8.7;13.4;45.8;-;Ja
2020-06-07;10.9;15.6;7.4;15.6;2.0;-;Ja
2020-06-08;10.4;15.4;3.9;15.4;0.0;-;Ja
2020-06-09;11.0;17.3;7.1;17.3;8.2;-;Ja
2020-06-10;14.4;21.1;7.9;21.1;0.4;-;Ja
2020-06-11;15.6;23.9;4.8;23.9;0.0;-;Ja
