site,Plot,Basal_Area_20m,Basal_Area_19m,Basal_Area_18m,Basal_Area_17m,Basal_Area_16m,Basal_Area_15m,Basal_Area_14m,Basal_Area_13m,Basal_Area_12m,Basal_Area_11m,Basal_Area_10m,Basal_Area_09m,Basal_Area_08m,Basal_Area_07m,Basal_Area_06m,Basal_Area_05m,Basal_Area_04m,Broad_BA_20m,Broad_BA_19m,Broad_BA_18m,Broad_BA_17m,Broad_BA_16m,Broad_BA_15m,Broad_BA_14m,Broad_BA_13m,Broad_BA_12m,Broad_BA_11m,Broad_BA_10m,Broad_BA_09m,Broad_BA_08m,Broad_BA_07m,Broad_BA_06m,Broad_BA_05m,Broad_BA_04m,perc_broad_20m,perc_broad_19m,perc_broad_18m,perc_broad_17m,perc_broad_16m,perc_broad_15m,perc_broad_14m,perc_broad_13m,perc_broad_12m,perc_broad_11m,perc_broad_10m,perc_broad_09m,perc_broad_08m,perc_broad_07m,perc_broad_06m,perc_broad_05m,perc_broad_04m,CanOpen
Arville,11,25.54930625,27.2829916897507,27.7435416666667,30.3515830449827,27.64859375,30.5256777777778,19.1030102040816,21.372426035503,25.0829166666667,21.7367561983471,20.682425,17.5060802469136,16.48578125,21.5324489795918,26.6944444444444,38.44,60.0625,14.2776375,14.793608033241,15.5323765432099,17.4134602076125,17.564716796875,19.9847444444444,10.1782908163265,11.8044082840237,13.8537847222222,8.37316115702479,10.131525,4.48027777777778,0,0,0,0,0,55.8826817460063,54.2228220477685,55.9855577554892,57.3724941522976,63.5284273612469,65.4686346030719,53.2810834920236,55.2319529117317,55.2319529117316,38.520748361071,48.9861561204743,25.5926953069216,0,0,0,0,0,0.457301635
Arville,12,34.4177625,34.348836565097,32.2431327160494,32.3573875432526,30.995302734375,33.3057666666667,34.3752423469388,31.0256360946746,31.89640625,28.2603719008264,30.91805,36.7701543209877,32.5409375,24.6369387755102,15.4711111111111,0,0,25.4285875,24.5910318559557,22.1077469135802,21.9337889273356,20.449931640625,21.3074777777778,24.4601147959184,22.727573964497,22.1577083333333,21.8054545454545,26.3846,32.5735802469136,30.25328125,24.6369387755102,15.4711111111111,0,0,73.8821633161075,71.5920372131133,68.5657535459508,67.7860315453973,65.9775186449308,63.9753409402909,71.1561959303441,73.2541756602314,69.467726739069,77.1591209838851,85.3372059363382,88.5870098954718,92.9699128981763,100,100,0,0,0.281744261
Arville,13,31.66325625,34.9970706371191,32.1362577160494,33.908598615917,35.73958984375,34.9967666666667,36.9805484693878,36.4980917159763,32.5868402777778,38.7810330578512,40.42255,36.4599382716049,46.144609375,41.1380612244898,42.0556944444444,26.8381,0,13.2175125,14.6454432132964,9.70226080246914,10.8772750865052,12.279423828125,8.70965555555556,7.52894132653061,8.7317899408284,0,0,0,0,0,0,0,0,0,41.7440088777982,41.8476259489071,30.1910100678078,32.0782206593442,34.3580435080801,24.8870292461939,20.3591932465875,23.9239629534007,0,0,0,0,0,0,0,0,0,0.392952403
Arville,14,28.17701875,29.2701800554017,26.4524382716049,28.6735899653979,30.79947265625,31.7909666666667,35.1804336734694,35.9278846153846,31.2452951388889,31.9546487603306,38.665125,44.4142283950617,47.47234375,60.902193877551,36.554375,52.6383,14.0090625,14.72920625,16.3204501385042,12.5177777777778,13.0513408304498,13.16341796875,13.4805,15.4750637755102,16.1764644970414,15.4692534722222,18.4096900826446,22.275725,27.5008950617284,26.06640625,34.0459183673469,0,0,0,52.2738277625627,55.7579424096925,47.3218296523343,45.5169403140647,42.7391017880912,42.4035548882334,43.9877004335521,45.0248175483021,49.5090649758936,57.611930648097,57.611930648097,61.9191102840056,54.9086145551851,55.9026140105874,0,0,0,0.196757794
Arville,15,31.19493125,32.2338988919668,33.8258101851852,34.2961245674741,35.33951171875,39.6559666666667,44.458112244898,41.7795414201183,33.9831076388889,34.632458677686,38.53805,44.0099382716049,39.3709765625,39.8669387755102,51.2827777777778,50.5183,29.27171875,21.3851375,22.3970429362881,24.9547299382716,25.5469982698962,27.602509765625,31.4055222222222,36.0522576530612,32.6172781065089,26.7080381944444,26.1979958677686,28.33235,34.9782098765432,28.4841015625,26.7800510204082,36.450625,29.16,0,68.5532445275064,69.482885118405,73.7742268452778,74.4894608125042,78.106652930861,79.1949481050491,81.0926416633864,78.0699763516372,78.5921007526717,75.6457868370987,73.5178609192733,79.477979861451,72.3479680959463,67.1735825296394,71.0777118157493,57.7216573004238,0,0.189580489
Arville,16,22.61955,23.3906024930748,24.5224074074074,27.1992387543253,26.42767578125,25.6476888888889,26.7552423469388,31.0297485207101,32.7515625,34.2967975206612,30.7404,26.0869135802469,25.0196875,19.4083673469388,26.4169444444444,38.0404,59.438125,13.91504375,14.5940581717452,15.6937345679012,17.5943598615917,17.32234375,19.5240777777778,19.7255867346939,22.8770118343195,23.94453125,24.4412396694215,19.4614,12.1622222222222,10.16015625,0,0,0,0,61.5177744473254,62.392827102534,63.997528085928,64.6869569421086,65.5462246978598,76.1241212117011,73.7260626493664,73.7260626493664,73.1095844663899,71.2639121909197,63.3088704115757,46.6219285957672,40.6086456915179,0,0,0,0,0.245423912
Arville,17,34.47248125,36.1784487534626,36.1309259259259,40.1877508650519,41.1494140625,39.8940777777778,41.1686479591837,41.7301923076923,29.4791666666667,30.6554752066116,36.8675,37.7993827160494,47.83984375,62.484693877551,60.875,87.66,136.96875,17.64755,19.5540720221607,17.6080864197531,19.740553633218,18.0664453125,14.0556,13.3296301020408,9.44352071005917,2.99001736111111,0,0,0,0,0,0,0,0,51.1931527992346,54.0489509525727,48.7341134181073,49.1208221617219,43.9045019816314,35.2322970800177,32.3781099521567,22.6299477376681,10.1428150765607,0,0,0,0,0,0,0,0,0.164116543
Arville,18,36.6936625,40.6577977839335,43.3795138888889,40.1150605536332,44.9801953125,47.9374666666667,46.1757525510204,48.9138905325444,57.4058854166667,51.2932851239669,55.304875,68.2776234567901,74.140625,69.7704081632653,76.1875,83.7,47.265625,5.50774375,6.10276315789474,6.79968364197531,4.61192906574394,5.206435546875,5.92376666666667,3.77512755102041,4.37825443786982,5.13836805555556,6.1150826446281,7.39925,9.13487654320988,0,0,0,0,0,15.0100681555023,15.0100681555023,15.6748728429549,11.4967520978259,11.5749509549776,12.3572793444793,8.17556258958466,8.95094295342709,8.95094295342709,11.9217995685966,13.3790194806516,13.3790194806516,0,0,0,0,0,0.220183997
Arville,19,29.347275,32.1020706371191,32.7055478395062,32.9337629757785,29.42669921875,28.2157333333333,28.8076020408163,25.0875147928994,23.01109375,17.9221074380165,21.68575,18.4268518518519,23.321484375,30.4607142857143,41.4604166666667,23.3428,32.670625,11.32466875,12.5481094182826,13.9810725308642,11.9416176470588,13.480966796875,13.5871333333333,15.5974744897959,13.6145266272189,11.1726041666667,8.43630165289256,10.207925,12.6023765432099,15.9498828125,20.8325,28.3553472222222,18.8356,29.430625,38.5884847911774,39.0881621317392,42.7483208643152,36.2594995775047,45.8120249799721,48.1544575603209,54.1436058013315,54.2681359218263,48.5531208905125,47.0720403951904,47.0720403951904,68.3913706178919,68.3913706178919,68.3913706178919,68.3913706178919,80.6912624021111,90.0828343504295,0.253020318
Arville,20,38.46519375,35.7766066481994,36.3689274691358,36.2442820069204,37.743544921875,33.9057666666667,33.4428316326531,38.7857692307692,40.0749652777778,39.1626239669421,28.053675,18.5236419753086,23.443984375,30.6207142857143,18.0625,26.01,40.640625,13.3748375,13.6155470914127,13.763549382716,13.5276384083045,12.098583984375,11.4041555555556,10.9264030612245,12.6720414201183,9.42760416666667,11.2196280991736,9.92765,4.81558641975309,6.0947265625,7.96045918367347,0,0,0,34.7712729251494,38.0571227039443,37.8442542590687,37.323510521526,32.0547103072002,33.6348552966572,32.6718837126104,32.6718837126104,23.5249216095876,28.6488160462492,35.3880552191469,25.9969741704795,25.9969741704795,25.9969741704795,0,0,0,0.250072637
