Date,site,era5_meanair,era5_maxair,era5_minair,era5_meansoil,era5_wind,era5_snow,era5_prec,era5_prev_av_prec,era5_prev_av_temp
2020-01-01,Sandsjo,2.36267306192323,4.81711627994611,-1.90840433462506,-0.640798874521861,15.8735824520503,0.0804664674511353,0.00149726730881516,NA,NA
2020-01-02,Sandsjo,2.66030779550088,4.38915964581531,1.34224499270869,-0.587328281518689,15.2925666347526,0.0808082680116978,4.71194394768074e-05,NA,NA
2020-01-03,Sandsjo,-0.0887350026660959,2.28466013382649,-3.50299806977728,-0.668518292367061,15.3348331542486,0.0843543154506241,1.47012651167625e-05,NA,NA
2020-01-04,Sandsjo,-2.82815067353602,-0.177228694963105,-6.47023994525313,-0.556109765562849,16.5861602525681,0.0864954594408284,0.000264245816585953,NA,NA
2020-01-05,Sandsjo,-7.35228398760669,-3.60315813308443,-10.4948533981426,-2.55179850360147,11.8695738586647,0.0895599273178384,0.00184821289403845,NA,NA
2020-01-06,Sandsjo,0.128231043560445,2.79228954558795,-3.54624900620536,-3.143474124747,9.71457666745805,0.0913126777470288,0.000417289756006637,0.000734309344806626,-1.04923776127694
2020-01-07,Sandsjo,-0.119750476815199,1.20793945327404,-1.50321135124597,-1.68396749875552,13.1851936908654,0.0954566094131202,0.000474963949926251,0.000518313834244922,-1.49612616494949
2020-01-08,Sandsjo,1.4983182731746,2.99147148966478,0.156258788548371,-0.26595798941986,15.5205677187946,0.0949067408734431,0.0015112146629003,0.000603882736334811,-2.05213781941271
2020-01-09,Sandsjo,-0.493690864683243,1.06111390592599,-2.54351019059578,-0.462508891103309,16.4468593291586,0.0936974568922646,0,0.000903185415891518,-1.73472716424457
2020-01-10,Sandsjo,-3.34479069705338,-2.27603729426403,-4.28151492548324,-2.89148438737315,8.97878204637202,0.0970713591997526,0.000218257243656589,0.000850336252574327,-1.26783520247402
2020-01-11,Sandsjo,-2.64395479953735,1.50045236543258,-6.22553069967307,-2.31402385230209,12.4017748224599,0.0996770105074331,0.000363762072760973,0.000524345122497955,-0.466336544363356
2020-01-12,Sandsjo,-0.568858336436042,1.65069246039337,-2.43538284952547,-0.605370506151658,10.546810389366,0.102182006707268,3.80725070972601e-05,0.000513639585848822,-1.02077371298292
2020-01-13,Sandsjo,-2.82046794140734,-1.12647293130635,-4.44427502835742,-1.4267837876237,10.4146531030545,0.100278807123949,4.18420622554077e-05,0.000426261297283024,-1.11059528490708
2020-01-14,Sandsjo,-1.92666267949879,1.35021227047179,-5.92846505736418,-0.673274878861209,14.3877059356824,0.102105537279047,0.00395087076125168,0.000132386777154046,-1.97435252782347
2020-01-15,Sandsjo,-1.69959526325121,-0.52778891653827,-2.80415399170198,-0.950687750945155,7.69352267183745,0.104458661637717,0.00470365092633322,0.000922560929404382,-2.26094689078658
2020-01-16,Sandsjo,-5.84068272915319,-0.29901422648436,-8.65213586979758,-3.35478684658469,12.1368649467453,0.109902929255334,0.000494942592264423,0.00181963966593971,-1.93190780402615
2020-01-17,Sandsjo,-2.45881044009071,0.792502827056637,-4.95531898773169,-2.84189560633647,12.8863515389357,0.111285069711469,0.000639693510337188,0.0018458757698404,-2.57125338994931
2020-01-18,Sandsjo,-5.69750885077987,-5.04523540820065,-6.33365804074333,-2.77213233775565,6.49577285175244,0.123111867047395,0.00961990476358582,0.00196619997048838,-2.94924381068025
2020-01-19,Sandsjo,-7.87613250052874,-2.65619026181633,-9.71178381228628,-2.570988869802,9.08296008738339,0.134548492463511,0.000104793633396426,0.00388181251075447,-3.52465199255475
2020-01-20,Sandsjo,2.68240750643892,7.30973603725033,-2.52985200014479,-1.6187967964449,18.2571760303904,0.134358563744114,0.000926179702356197,0.00311259708518342,-4.71454595676074
2020-01-21,Sandsjo,0.809907535027179,4.87971631951308,-1.31768759762008,-0.655451347860148,17.378508667346,0.133238909046246,4.71194394768056e-05,0.00235710284038801,-3.83814540282272
2020-01-22,Sandsjo,-2.36595371473298,-1.10257109801711,-4.50004597269896,-0.439764753384168,14.2781701668476,0.137338026070682,0.000430483199060147,0.00226753820983049,-2.50802734998664
2020-01-23,Sandsjo,-0.891533085840495,2.15263095946699,-3.80234007716126,-0.901044296500487,12.4279681584856,0.140580685499036,0.00488496652943999,0.00222569614757508,-2.4894560049151
2020-01-24,Sandsjo,-1.36938005453527,0.383895296064793,-2.66529572211704,-0.609580358566018,13.7316819288565,0.144930551113687,9.27310568903592e-05,0.00127870850074591,-1.52826085192722
2020-01-25,Sandsjo,-4.01148111844195,-2.77000851557455,-5.3525446933478,-1.69484750694328,13.3387818884708,0.148995167977484,0.000802915248684862,0.0012762959854447,-0.226910362728531
2020-01-26,Sandsjo,-7.01618816911324,-4.19956578277737,-8.56108126679101,-2.04125821989634,9.71814848600701,0.157081009750458,0.00733404651568674,0.00125164309471043,-1.56568808770471
2020-01-27,Sandsjo,-6.9938987610856,-5.38327562186248,-7.40013507845754,-1.68243664333212,11.1379463592191,0.160898434741631,0.00665062616551506,0.00270902850995242,-3.13090722853279
2020-01-28,Sandsjo,-4.03215810120802,-2.99309229294056,-6.2847161916273,-2.61653181864826,7.47326052798484,0.166803297287374,0.00534032879254389,0.0039530571032434,-4.05649623780331
2020-01-29,Sandsjo,-5.53052798766213,-3.67258726787696,-7.13152399958818,-2.93265346358112,10.083664584184,0.168867971849356,0.003444242547997,0.00404412955586418,-4.68462124087682
2020-01-30,Sandsjo,-2.65505207927878,-1.92547707268881,-3.50982716500278,-2.1997564296266,7.66078100180531,0.175022871641796,0.00636602475107513,0.00471443185408551,-5.51685082750219
