Date,site,minair_mcera5,meanair_mcera5,maxair_mcera5,mcera5_prec,mcera5_prev_av_temp,mcera5_prev_av_prec
2020-12-26,Vivarp,-6.84567609438061,-1.81430834601107,2.51791969518959,3.33308721649075,NA,NA
2020-12-27,Vivarp,-0.461219895076657,2.01855939288255,2.79426369088159,3.5695970164416,NA,NA
2020-12-28,Vivarp,0.740313215736114,2.50594105878568,3.8735796466819,2.24765604324099,NA,NA
2020-12-29,Vivarp,0.569614116467846,2.52593882101821,4.32283401395266,3.09470284136172,NA,NA
2020-12-30,Vivarp,-1.48845428845366,1.87210414215073,3.68476812882338,3.92118987056874,NA,NA
2020-12-31,Vivarp,-1.56897019144668,1.73922766480482,3.89624770703829,6.12964620860908,1.42164701376522,3.23324659762076
2021-01-01,Vivarp,-0.316906320836741,1.112018284395,2.1652474650843,1.90657581721644,2.1323542159284,3.79255839604443
2021-01-02,Vivarp,-0.453215226999421,0.373025958449043,1.10751031342542,0.276423417050266,1.95104599423089,3.45995415619939
2021-01-03,Vivarp,-1.39795447771957,0.754424285438332,2.02746130333324,0.0551313674565106,1.52446297416356,3.06570763096125
2021-01-04,Vivarp,-1.84572690986748,-0.350269957801853,0.767846184082431,0.11851341855697,1.17016006704758,2.45779333618021
2021-01-05,Vivarp,0.227058545621937,0.501684474619613,0.923403858417903,0.0883544254346647,0.725685247057068,1.69725804577785
2021-01-06,Vivarp,-0.0842516561825623,0.419958805403317,0.806256769680771,5.86520117932042,0.478176609020027,0.488999689142971
2021-01-07,Vivarp,-0.512249462462505,0.193731701091258,0.759251721014715,2.25904801089963,0.33976471322169,1.28072476156377
2021-01-08,Vivarp,-0.170763853825239,0.525055163281493,1.11444044467579,1.47269206508179,0.303905861750133,1.67724968033364
2021-01-09,Vivarp,-1.75826625718873,-0.194800256830743,0.751985216976888,0.0316525886262644,0.258032037318766,1.9607618198587
2021-01-10,Vivarp,-2.06604431602683,-0.44581111487619,0.529255545678822,3.0864512718126,0.289125977512988,1.94338965387256
2021-01-11,Vivarp,-0.56124738799981,1.32864621239092,3.31420844815047,9.06561113660013,0.0996268596138271,2.54300902314814
2021-01-12,Vivarp,-2.60788060714504,0.110150281794206,2.88959944442414,3.62069042407599,0.281364341011348,3.18309101460409
2021-01-13,Vivarp,-2.3556414101771,-1.06812172038678,-0.0375243406454303,8.56832779506696,0.264648057151938,3.45541949723936
2021-01-14,Vivarp,-5.50456211821828,-2.14503361366869,-0.0936125871985546,0.0351469287186723,-0.0539873195817161,4.87454664323639
2021-01-15,Vivarp,-11.462699555078,-8.55851952259553,-4.91951209385796,0.0204508690691996,-0.444033990949305,4.87524551125487
2021-01-16,Vivarp,-12.168794980725,-8.01264193472507,-4.57303956968016,0.067439224256418,-2.06657567249317,4.26204543070619
2021-01-17,Vivarp,-5.97313853786588,-3.13620884109946,-1.49332860682275,0.316725688378348,-3.93483330191637,2.46241104823745
2021-01-18,Vivarp,-6.9765143041257,-3.16517879938064,-0.216384794376515,0.910007075830501,-4.58410512649511,1.80161810109792
2021-01-19,Vivarp,-0.0211165503108499,0.483964146305514,1.0646100167518,5.03569885333873,-5.00351654229388,0.269953957250628
2021-01-20,Vivarp,0.533413360735724,3.01903821634033,4.88059167772879,12.0392169115028,-4.47771699029904,1.27006434217464
2021-01-21,Vivarp,2.80448239961916,4.04002806927243,6.67934896458719,0.914630427421871,-2.16220544251187,3.67381755066136
2021-01-22,Vivarp,2.91209066277778,3.98190538801854,6.33017331373188,6.64863488677709,0.248328558287634,3.84325579129445
2021-01-23,Vivarp,0.238500182341089,1.91011162016404,3.97488196065273,0.039565653783053,1.67195140411124,5.1096376309742
2021-01-24,Vivarp,-0.226931101089749,0.51517358467306,2.10688617973762,0.362800529034846,2.68700948802017,4.93554934656471
2021-01-25,Vivarp,-1.05448131441672,0.0377259800725012,0.86007423802822,1.62475963748377,2.69325137569368,4.00096968170394
2021-01-26,Vivarp,-4.12026055795444,-1.66266296075534,-0.517770481898217,0.104476209268219,2.09698892844012,1.91807822690013
2021-01-27,Vivarp,-4.55705093088243,-1.03995953757784,0.671528358483714,4.26487944835383,0.956450722434559,1.7560473832694
2021-01-28,Vivarp,-6.38837388352812,-3.23273992880276,0.0483140637558198,2.63697049453487,-0.047922262684717,1.27929629558474
2021-01-29,Vivarp,-7.17196707382324,-4.63042952680655,-1.60328406742943,0.0835025682362845,-1.07649257247808,1.79877726373511
2021-01-30,Vivarp,-10.2701606825888,-6.11447024338751,-2.88591949802942,0.037371694578376,-2.105613194774,1.7429176715754
2021-01-31,Vivarp,-7.58538997372506,-3.56579156391169,-0.408580695205032,0.393126779545316,-3.336052439466,1.42544008299432
2021-06-25,Vivarp,12.6446059298983,16.4982688631073,19.7613178953499,0.46939896497393,-3.71667816009727,1.48317019704974
2021-06-26,Vivarp,11.9731410282215,17.1642593829326,21.4983539015377,0.519731608857877,-0.209032479960242,0.724074100373755
2021-06-27,Vivarp,12.4519539393071,16.9648641554305,21.3170278301881,0.25423014237132,3.87036738238682,0.300626323238357
2021-06-28,Vivarp,10.2234185670701,18.2270305707441,24.8812891047687,0.00287866474375389,8.18942611883424,0.334771838065364
2021-06-29,Vivarp,10.6702325549734,20.5639403713234,27.4973532205153,0.16000983677949,13.0577262816606,0.327873232098439
2021-06-30,Vivarp,15.4271649450637,16.8763420518932,17.9739073267295,12.6081663214971,17.8836726687076,0.281249843545274
2021-07-01,Vivarp,14.0151774787819,16.1254129161598,19.2853021268591,19.1930299803497,17.9592873064648,2.70900331484991
